gameId,team,summoner,region,champion,timestamp,coordinate_x,coordinate_y,level,minionsKilled,jungleMinionsKilled,currentGold,goldPerSecond,totalGold,xp,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,ccReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,power,powerMax,powerRegen,spellVamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,victory,eventType,skillSlot,buildingType,lane,monster,itemName,role
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,0.0,14539.0,14394.0,1.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,21.0,0.0,0.0,25.0,100.0,0.0,620.0,620.0,0.0,0.0,0.0,0.0,30.0,335.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,1.0004333333333333,6866.0,9813.0,1.0,0.0,0.0,0.0,0.0,500.0,0.0,18.0,27.0,0.0,0.0,46.0,100.0,0.0,620.0,620.0,13.0,0.0,0.0,0.0,30.0,335.0,0.0,467.0,467.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,0.0743666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Scorchclaw Pup,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,0.0799333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Stealth Ward,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,0.0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Health Potion,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,0.5422166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,1.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,2.0006166666666667,11726.0,7702.0,2.0,0.0,8.0,191.0,0.0,691.0,525.0,18.0,30.0,0.0,0.0,48.0,101.0,0.0,243.0,699.0,13.0,0.0,0.0,0.0,30.0,335.0,0.0,99.0,489.0,208.0,0.0,2577.0,0.0,408.0,566.0,0.0,497.0,3669.0,0.0,906.0,525.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,1.7447666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,3.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,3.0015,4113.0,11571.0,4.0,0.0,24.0,692.0,0.0,1192.0,1211.0,18.0,37.0,0.0,0.0,53.0,104.0,0.0,529.0,869.0,32.0,0.0,0.0,0.0,32.0,335.0,0.0,290.0,537.0,185.0,0.0,11620.0,0.0,408.0,914.0,0.0,1555.0,15407.0,0.0,1963.0,2872.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,2.2780666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,1.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.001566666666666,13882.0,13874.0,4.0,6.0,28.0,332.0,0.0,1702.0,1525.0,60.0,37.0,0.0,0.0,53.0,104.0,0.0,809.0,869.0,32.0,0.0,0.0,0.0,32.0,335.0,0.0,537.0,537.0,19.0,0.0,14984.0,247.0,408.0,967.0,0.0,1891.0,19510.0,247.0,2300.0,3558.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,3.1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,2.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,3.4278666666666666,800.0,10442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Assist,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,3.9509666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Amplifying Tome,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,3.9582166666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Amplifying Tome,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,5.002083333333333,7993.0,10050.0,5.0,6.0,36.0,350.0,0.0,2010.0,1900.0,55.0,41.0,0.0,0.0,56.0,106.0,0.0,885.0,999.0,16.0,0.0,0.0,0.0,34.0,360.0,0.0,183.0,562.0,108.0,0.0,19833.0,247.0,879.0,1346.0,0.0,2202.0,25980.0,247.0,3081.0,4800.0,0.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.03045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Dark Seal,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.04375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Control Ward,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.072633333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Boots,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.08595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Oracle Lens,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,4.687633333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,1.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,6.002316666666666,1562.0,9648.0,5.0,7.0,43.0,809.0,0.0,2474.0,2356.0,61.0,41.0,0.0,0.0,56.0,106.0,0.0,660.0,999.0,96.0,0.0,0.0,0.0,34.0,360.0,0.0,127.0,562.0,39.0,0.0,26281.0,962.0,1142.0,1630.0,0.0,2893.0,34569.0,980.0,4035.0,6657.0,18.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,5.911766666666667,1876.0,9494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Assist,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,7.002666666666666,11199.0,5888.0,6.0,7.0,43.0,367.0,0.0,2897.0,2581.0,91.0,45.0,0.0,0.0,58.0,108.0,0.0,826.0,1094.0,17.0,0.0,0.0,0.0,35.0,360.0,0.0,536.0,889.0,78.0,0.0,28261.0,1215.0,1208.0,1819.0,71.0,3801.0,37540.0,1305.0,5010.0,7458.0,18.0,0.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,6.2675833333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,4.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,6.465933333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Lost Chapter,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,8.00295,8444.0,10027.0,7.0,8.0,59.0,981.0,0.0,3516.0,3447.0,97.0,49.0,0.0,0.0,61.0,110.0,0.0,985.0,1192.0,18.0,0.0,0.0,0.0,36.0,360.0,0.0,449.0,917.0,238.0,0.0,37451.0,1690.0,1754.0,2057.0,71.0,4151.0,47980.0,1800.0,5928.0,8471.0,38.0,22.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,7.3601,7750.0,5286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Assist,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,7.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,1.0,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.003233333333334,5197.0,9155.0,8.0,8.0,71.0,1677.0,0.0,4212.0,4229.0,91.0,54.0,0.0,0.0,64.0,112.0,0.0,0.0,1295.0,19.0,0.0,0.0,0.0,37.0,360.0,0.0,472.0,946.0,130.0,0.0,50022.0,3792.0,2195.0,2398.0,103.0,5946.0,62824.0,4212.0,8302.0,10403.0,316.0,160.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,8.881566666666666,5197.0,9155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Death,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,10.003383333333334,4137.0,9688.0,8.0,8.0,71.0,284.0,0.0,4594.0,4577.0,138.0,54.0,0.0,0.0,64.0,112.0,0.0,1295.0,1295.0,19.0,0.0,18.0,0.0,37.0,380.0,0.0,652.0,946.0,76.0,0.0,51912.0,4870.0,2195.0,2462.0,103.0,5946.0,64847.0,5290.0,8302.0,10472.0,316.0,160.0,True,,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.074283333333334,1166.0,10698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Assist,,,,,,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.205966666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Sorcerer's Shoes,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.251116666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Fiendish Codex,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.260583333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Item purchased,,,,,Control Ward,JUNGLE
EUW1_6391611617,Red,anonymous 24,euw1,Karthus,9.539666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SkillLevelUp,3.0,,,,,JUNGLE
